,density,percentage
0,hotfix,0.0
1,docs,0.0
2,feature,2.97
3,arq,0.0
4,devops,0.0
5,analytics,0.0
6,us,0.0
7,easy,1.27
8,medium,0.85
9,hard,0.85
10,eps,2.97
11,mds,0.0
