,density,percentage
0,hotfix,0.0
1,docs,0.42
2,feature,3.39
3,arq,0.0
4,devops,2.54
5,analytics,2.12
6,us,2.97
7,easy,2.97
8,medium,1.27
9,hard,0.0
10,eps,5.93
11,mds,0.42
