,density,percentage
0,hotfix,0.85
1,docs,2.12
2,feature,2.12
3,arq,0.85
4,devops,1.27
5,analytics,0.0
6,us,0.85
7,easy,1.27
8,medium,0.42
9,hard,0.85
10,eps,2.97
11,mds,0.42
