,density,percentage
0,hotfix,0.0
1,docs,5.08
2,feature,2.97
3,arq,0.42
4,devops,2.12
5,analytics,0.42
6,us,2.54
7,easy,4.66
8,medium,0.85
9,hard,2.12
10,eps,8.47
11,mds,0.0
