,density,percentage
0,hotfix,0.0
1,docs,0.0
2,feature,1.69
3,arq,0.0
4,devops,0.0
5,analytics,0.0
6,us,0.0
7,easy,1.27
8,medium,0.85
9,hard,0.0
10,eps,2.12
11,mds,0.0
