,density,percentage
0,hotfix,0.42
1,docs,0.0
2,feature,5.08
3,arq,0.0
4,devops,0.0
5,analytics,0.0
6,us,0.0
7,easy,1.69
8,medium,1.27
9,hard,1.69
10,eps,5.51
11,mds,0.0
