,density,percentage
0,hotfix,0.0
1,docs,0.42
2,feature,1.27
3,arq,0.0
4,devops,0.0
5,analytics,0.0
6,us,0.0
7,easy,2.97
8,medium,0.42
9,hard,1.27
10,eps,4.66
11,mds,0.0
